Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Vehicle_Type,Vehicle_Condition,Vehicle_Price,Down_Payment,Loan_Amount,Loan_Tenure,Vehicle_Usage,Number_of_Dependents,Loan_Approval
VL100421,47,Business Owner,Business,31300,19.0,3700,Car,Used,284000,38100,245900,2,Business,4,Approved
VL100422,41,Salaried,Permanent,34200,7.3,0,Scooter,Used,40000,9300,30700,3,Personal,2,Approved
VL100423,37,Salaried,Permanent,15000,2.4,2800,Electric Vehicle,New,1526000,163300,1362700,7,Personal,2,Rejected
VL100424,37,Private Employee,Permanent,35700,2.7,6100,Electric Vehicle,Used,572000,155900,416100,3,Commercial,0,Rejected
VL100425,46,Business Owner,Business,33700,10.1,9000,Scooter,New,87000,9500,77500,1,Business,2,Rejected
VL100426,28,Self Employed,Self Employed,43900,2.6,700,Scooter,New,84000,15600,68400,7,Personal,2,Approved
VL100427,41,Salaried,Permanent,31800,2.0,200,Commercial Vehicle,Used,1091000,189500,901500,3,Personal,1,Approved
VL100428,30,Professional,Contract,32200,5.8,0,Car,Used,458000,125700,332300,5,Commercial,2,Rejected
VL100429,31,Private Employee,Permanent,35500,3.2,7000,Motorcycle,Used,63000,8300,54700,3,Commercial,0,Rejected
VL100430,36,Private Employee,Permanent,16400,5.9,0,Car,New,793000,189600,603400,3,Commercial,3,Approved
VL100431,34,Self Employed,Self Employed,26700,1.3,1700,Scooter,Used,40000,3200,36800,5,Business,1,Rejected
VL100432,29,Private Employee,Permanent,38100,5.8,0,Commercial Vehicle,New,1780000,526500,1253500,2,Personal,1,Approved
VL100433,33,Business Owner,Business,19300,11.5,2000,SUV,Used,878000,173200,704800,5,Commercial,2,Rejected
VL100434,34,Salaried,Permanent,33700,8.4,4000,SUV,New,1478000,243600,1234400,2,Personal,1,Approved
VL100435,39,Salaried,Permanent,25900,2.6,3600,Commercial Vehicle,Used,1046000,229300,816700,3,Business,1,Rejected
VL100436,34,Salaried,Permanent,24500,6.0,2300,Motorcycle,New,118000,26700,91300,3,Personal,4,Approved
VL100437,38,Private Employee,Permanent,46200,1.7,400,Commercial Vehicle,New,1791000,279900,1511100,3,Commercial,1,Rejected
VL100438,37,Self Employed,Self Employed,20000,5.1,2800,SUV,Used,758000,261300,496700,2,Personal,1,Approved
VL100439,29,Professional,Contract,28300,3.2,3000,Car,New,877000,259800,617200,3,Business,0,Rejected
VL100440,37,Salaried,Permanent,16900,0.4,1800,Motorcycle,Used,68000,3700,64300,5,Personal,4,Rejected
VL100441,21,Private Employee,Permanent,28700,0.7,800,Scooter,New,85000,17600,67400,7,Business,2,Rejected
VL100442,51,Business Owner,Business,15000,11.2,2000,Motorcycle,New,124000,22100,101900,3,Personal,1,Rejected
VL100443,54,Self Employed,Self Employed,37600,4.2,6300,Car,New,870000,0,870000,1,Personal,2,Rejected
VL100444,36,Private Employee,Permanent,57500,5.9,1900,Scooter,New,81000,17300,63700,1,Commercial,2,Approved
VL100445,28,Salaried,Permanent,31700,3.7,0,Car,Used,415000,54200,360800,5,Personal,1,Approved
VL100446,38,Private Employee,Contract,38100,18.0,6100,Commercial Vehicle,Used,1297000,244100,1052900,2,Personal,3,Rejected
VL100447,22,Salaried,Permanent,24700,1.2,0,Car,Used,455000,106400,348600,2,Personal,0,Rejected
VL100448,46,Private Employee,Permanent,26900,15.1,500,Car,Used,462000,123300,338700,3,Personal,3,Rejected
VL100449,39,Salaried,Contract,44400,4.8,1700,Electric Vehicle,Used,801000,183300,617700,5,Personal,1,Rejected
VL100450,28,Private Employee,Permanent,24100,6.0,800,Commercial Vehicle,Used,690000,400,689600,3,Business,0,Approved
VL100451,23,Private Employee,Permanent,23500,1.7,3700,SUV,Used,938000,186800,751200,3,Business,3,Rejected
VL100452,21,Salaried,Permanent,15000,0.6,2900,Scooter,New,69000,2800,66200,5,Personal,0,Rejected
VL100453,38,Salaried,Permanent,22000,10.7,4000,Scooter,Used,52000,5400,46600,7,Personal,1,Rejected
VL100454,21,Government Employee,Permanent,27200,0.4,700,Motorcycle,New,105000,39100,65900,7,Personal,3,Approved
VL100455,30,Salaried,Permanent,17200,0.7,3800,SUV,New,1572000,333600,1238400,5,Business,2,Rejected
VL100456,34,Government Employee,Permanent,33500,1.4,0,SUV,Used,816000,33900,782100,7,Business,1,Approved
VL100457,29,Self Employed,Self Employed,40000,2.2,4800,Commercial Vehicle,New,2011000,371000,1640000,5,Personal,1,Rejected
VL100458,22,Salaried,Contract,24600,1.6,2800,SUV,New,1431000,567700,863300,3,Commercial,1,Rejected
VL100459,34,Salaried,Contract,35200,1.6,7800,Electric Vehicle,Used,497000,75800,421200,7,Business,0,Rejected
VL100460,34,Private Employee,Permanent,28100,7.1,3900,Commercial Vehicle,New,1887000,36500,1850500,3,Personal,1,Rejected
VL100461,33,Self Employed,Self Employed,68000,0.7,16000,SUV,New,1287000,247800,1039200,3,Business,1,Approved
VL100462,49,Private Employee,Permanent,16600,9.6,500,SUV,New,1613000,643700,969300,2,Business,1,Rejected
VL100463,51,Professional,Permanent,51100,11.5,8600,Car,New,896000,142400,753600,7,Business,1,Approved
VL100464,32,Self Employed,Self Employed,41000,4.3,7800,Motorcycle,New,105000,35700,69300,2,Personal,2,Approved
VL100465,42,Private Employee,Permanent,21900,10.5,3100,Car,New,715000,141600,573400,3,Personal,1,Approved
VL100466,30,Government Employee,Permanent,34200,2.6,1200,Scooter,New,89000,37200,51800,3,Personal,4,Approved
VL100467,21,Business Owner,Business,38800,0.8,3000,Motorcycle,Used,94000,17400,76600,2,Personal,0,Approved
VL100468,37,Professional,Contract,58500,1.6,8800,Car,New,809000,145800,663200,5,Personal,2,Approved
VL100469,21,Private Employee,Permanent,39500,0.2,6400,SUV,New,1535000,392400,1142600,5,Personal,1,Rejected
VL100470,44,Self Employed,Self Employed,16500,1.9,400,Electric Vehicle,Used,792000,113400,678600,5,Commercial,3,Rejected
VL100471,34,Private Employee,Permanent,36600,6.3,300,Scooter,Used,48000,7900,40100,1,Business,3,Approved
VL100472,31,Private Employee,Contract,49200,5.5,9900,Motorcycle,Used,47000,8800,38200,2,Personal,1,Rejected
VL100473,25,Private Employee,Contract,87100,1.6,15600,SUV,New,1253000,443700,809300,5,Personal,3,Approved
VL100474,34,Professional,Contract,24600,3.9,5000,Scooter,New,85000,2700,82300,5,Commercial,3,Rejected
VL100475,30,Government Employee,Permanent,76300,6.6,18800,Commercial Vehicle,Used,1101000,102700,998300,5,Personal,2,Rejected
VL100476,21,Private Employee,Permanent,37800,0.2,4300,Scooter,New,82000,28200,53800,5,Personal,2,Approved
VL100477,32,Salaried,Permanent,16000,12.0,0,Scooter,New,76000,15700,60300,2,Personal,0,Rejected
VL100478,34,Professional,Permanent,72900,1.9,15800,Car,New,793000,81600,711400,5,Commercial,3,Approved
VL100479,38,Professional,Contract,24900,5.5,2200,Commercial Vehicle,New,1583000,391700,1191300,5,Personal,4,Rejected
VL100480,29,Private Employee,Permanent,51600,9.0,12300,Scooter,New,68000,13100,54900,3,Personal,3,Approved
VL100481,33,Government Employee,Permanent,22500,5.9,800,SUV,Used,706000,103700,602300,1,Personal,0,Approved
VL100482,30,Business Owner,Business,59500,1.1,10600,SUV,New,1642000,189300,1452700,2,Business,0,Rejected
VL100483,30,Salaried,Permanent,40300,8.5,700,Motorcycle,New,132000,21900,110100,5,Personal,1,Approved
VL100484,31,Private Employee,Permanent,27000,0.6,5900,Car,New,770000,0,770000,2,Business,1,Rejected
VL100485,36,Government Employee,Permanent,24200,4.0,0,Car,New,685000,102300,582700,5,Personal,2,Approved
VL100486,31,Salaried,Contract,26300,5.1,2800,Car,Used,506000,147600,358400,2,Personal,0,Approved
VL100487,31,Salaried,Contract,25500,0.8,2300,Car,Used,371000,95800,275200,3,Personal,2,Rejected
VL100488,43,Self Employed,Self Employed,17300,21.9,800,SUV,Used,829000,133000,696000,3,Personal,3,Rejected
VL100489,34,Private Employee,Contract,20800,4.5,2100,Motorcycle,Used,69000,5200,63800,1,Personal,2,Rejected
VL100490,42,Professional,Contract,88600,22.0,3600,Electric Vehicle,Used,772000,116200,655800,5,Personal,0,Approved
VL100491,21,Private Employee,Permanent,29600,0.2,2300,SUV,New,1647000,0,1647000,2,Personal,1,Approved
VL100492,49,Salaried,Permanent,40000,4.1,4500,Electric Vehicle,Used,633000,149300,483700,3,Personal,2,Approved
VL100493,37,Government Employee,Permanent,27300,10.1,900,SUV,Used,695000,170400,524600,2,Personal,1,Rejected
VL100494,33,Government Employee,Permanent,59500,2.7,5500,Commercial Vehicle,New,1730000,462500,1267500,5,Personal,3,Approved
VL100495,41,Private Employee,Permanent,52000,8.1,8200,Electric Vehicle,New,1409000,409700,999300,3,Personal,4,Approved
VL100496,48,Government Employee,Permanent,28000,6.1,800,Motorcycle,Used,59000,15900,43100,5,Personal,2,Approved
VL100497,26,Salaried,Permanent,24500,5.9,2600,Car,Used,409000,83500,325500,3,Personal,2,Rejected
VL100498,21,Private Employee,Contract,21200,0.4,300,Motorcycle,New,122000,18600,103400,2,Personal,1,Approved
VL100499,36,Private Employee,Permanent,24800,4.6,5700,Motorcycle,New,97000,14300,82700,5,Personal,1,Approved
VL100500,21,Salaried,Permanent,45800,0.7,6100,Commercial Vehicle,Used,1024000,195300,828700,2,Personal,1,Rejected
VL100501,25,Salaried,Contract,29800,1.6,0,Car,Used,339000,89800,249200,5,Business,2,Approved
VL100502,53,Private Employee,Permanent,24500,7.4,6100,Electric Vehicle,Used,734000,81600,652400,3,Business,0,Rejected
VL100503,24,Private Employee,Permanent,26200,1.9,3400,Commercial Vehicle,New,1935000,425900,1509100,5,Business,0,Approved
VL100504,22,Private Employee,Permanent,62900,0.3,1900,Scooter,New,85000,9000,76000,7,Personal,4,Approved
VL100505,40,Self Employed,Self Employed,28600,4.1,8500,Scooter,Used,43000,10300,32700,2,Business,1,Rejected
VL100506,41,Business Owner,Business,45300,3.6,4000,SUV,New,1241000,165900,1075100,3,Personal,2,Approved
VL100507,46,Private Employee,Permanent,41300,8.6,0,Car,Used,523000,192300,330700,7,Personal,2,Approved
VL100508,21,Self Employed,Self Employed,37800,0.2,7500,Electric Vehicle,New,1230000,206900,1023100,7,Personal,2,Rejected
VL100509,31,Salaried,Permanent,28100,7.3,3500,Scooter,Used,40000,8700,31300,7,Personal,2,Approved
VL100510,40,Salaried,Permanent,64200,16.4,13400,SUV,New,1204000,99100,1104900,7,Business,1,Approved
VL100511,30,Salaried,Contract,44400,4.5,4900,Scooter,New,75000,18300,56700,5,Personal,3,Approved
VL100512,46,Self Employed,Self Employed,33200,1.3,1400,Car,New,883000,256100,626900,2,Business,1,Approved
VL100513,30,Business Owner,Business,25800,2.8,100,Motorcycle,New,119000,14500,104500,2,Business,2,Approved
VL100514,31,Salaried,Permanent,25000,2.3,900,Motorcycle,Used,73000,13800,59200,5,Personal,0,Approved
VL100515,31,Private Employee,Permanent,61700,11.0,2700,Commercial Vehicle,Used,989000,110600,878400,5,Business,1,Approved
VL100516,44,Private Employee,Permanent,51000,16.8,0,Car,Used,486000,87600,398400,2,Business,2,Approved
VL100517,37,Business Owner,Business,82600,0.8,3200,Car,New,951000,266500,684500,5,Business,2,Approved
VL100518,31,Salaried,Permanent,40500,6.1,3500,Motorcycle,Used,46000,17500,28500,3,Commercial,1,Approved
VL100519,27,Private Employee,Permanent,46200,1.5,3500,Scooter,New,66000,17500,48500,2,Personal,0,Approved
VL100520,35,Business Owner,Business,15000,9.8,0,Car,New,716000,62400,653600,5,Personal,0,Approved
VL100521,37,Salaried,Permanent,46700,9.2,500,SUV,New,1359000,258200,1100800,1,Personal,4,Approved
VL100522,36,Salaried,Permanent,55000,6.0,4800,SUV,Used,1152000,306900,845100,1,Personal,3,Approved
VL100523,34,Salaried,Permanent,69000,3.5,3100,Scooter,New,64000,0,64000,5,Commercial,1,Approved
VL100524,37,Self Employed,Self Employed,15000,5.1,2100,Motorcycle,Used,50000,11400,38600,2,Personal,3,Rejected
VL100525,28,Salaried,Permanent,16900,2.0,900,Car,New,747000,160900,586100,3,Business,0,Rejected
VL100526,36,Salaried,Permanent,46600,7.2,4200,Electric Vehicle,New,1206000,472400,733600,2,Commercial,0,Rejected
VL100527,33,Salaried,Permanent,39500,7.6,5100,Scooter,New,87000,17400,69600,5,Business,4,Rejected
VL100528,25,Self Employed,Self Employed,18500,0.4,3300,Car,Used,654000,218100,435900,3,Commercial,2,Rejected
VL100529,34,Private Employee,Permanent,43900,7.7,4600,Car,New,778000,137800,640200,2,Business,4,Rejected
VL100530,34,Government Employee,Permanent,31700,5.7,0,Motorcycle,New,124000,32200,91800,1,Business,2,Approved
VL100531,22,Professional,Contract,24300,0.4,5100,Electric Vehicle,New,1212000,279000,933000,2,Personal,1,Rejected
VL100532,42,Salaried,Permanent,23000,20.8,4100,Car,New,704000,248700,455300,2,Business,2,Rejected
VL100533,30,Salaried,Contract,25000,1.9,400,Scooter,Used,47000,15300,31700,5,Personal,1,Approved
VL100534,34,Private Employee,Permanent,25000,4.6,3000,Scooter,Used,40000,6400,33600,3,Commercial,1,Approved
VL100535,27,Professional,Permanent,17100,3.1,400,Car,New,747000,46000,701000,5,Commercial,2,Rejected
VL100536,32,Business Owner,Business,79000,4.4,4600,Motorcycle,Used,62000,17300,44700,2,Personal,0,Approved
VL100537,53,Self Employed,Self Employed,71600,1.7,11200,Car,New,769000,272700,496300,1,Commercial,1,Approved
VL100538,38,Private Employee,Permanent,59100,18.0,6800,Car,New,956000,59700,896300,3,Personal,2,Approved
VL100539,32,Private Employee,Permanent,33700,12.0,4200,Car,New,756000,271200,484800,2,Personal,1,Approved
VL100540,23,Self Employed,Self Employed,24400,2.5,3300,SUV,New,1504000,187900,1316100,7,Personal,2,Rejected
VL100541,31,Private Employee,Contract,16200,5.1,3400,Motorcycle,Used,55000,17800,37200,5,Personal,4,Rejected
VL100542,30,Government Employee,Permanent,49100,1.6,7500,Car,New,747000,146900,600100,5,Personal,2,Approved
VL100543,38,Business Owner,Business,30500,14.2,3100,Commercial Vehicle,New,2053000,646000,1407000,3,Commercial,1,Approved
VL100544,28,Business Owner,Business,78700,3.8,5800,Car,New,902000,215000,687000,3,Personal,3,Rejected
VL100545,41,Professional,Permanent,37000,7.2,3200,Scooter,Used,48000,14300,33700,2,Commercial,3,Rejected
VL100546,32,Government Employee,Permanent,36300,6.2,2700,Motorcycle,Used,56000,9500,46500,5,Business,1,Approved
VL100547,21,Salaried,Permanent,23600,0.2,2500,Car,New,821000,63800,757200,3,Personal,2,Rejected
VL100548,44,Salaried,Contract,81300,7.9,0,SUV,Used,641000,191400,449600,2,Personal,2,Approved
VL100549,31,Private Employee,Permanent,15000,11.0,1500,Motorcycle,Used,60000,18100,41900,5,Personal,2,Rejected
VL100550,27,Salaried,Permanent,35900,3.1,7200,Scooter,New,64000,10600,53400,2,Personal,2,Rejected
VL100551,33,Self Employed,Self Employed,25400,3.8,2600,Car,New,913000,218400,694600,7,Personal,2,Rejected
VL100552,37,Professional,Permanent,53600,12.3,5100,Car,New,703000,105600,597400,1,Personal,1,Approved
VL100553,29,Salaried,Permanent,36100,1.9,0,SUV,Used,705000,51800,653200,3,Business,1,Approved
VL100554,40,Business Owner,Business,24700,14.7,0,Car,Used,451000,105400,345600,5,Personal,1,Approved
VL100555,26,Salaried,Permanent,40000,2.8,0,Scooter,New,66000,17100,48900,5,Personal,3,Approved
VL100556,44,Private Employee,Contract,63300,5.3,4500,Car,New,866000,143800,722200,3,Personal,1,Rejected
VL100557,21,Salaried,Permanent,41900,0.2,2800,Scooter,New,68000,21600,46400,3,Personal,2,Rejected
VL100558,29,Government Employee,Permanent,48000,1.9,2800,Motorcycle,New,98000,12600,85400,7,Commercial,0,Approved
VL100559,43,Business Owner,Business,57400,12.0,5900,Scooter,Used,49000,15200,33800,5,Personal,3,Rejected
VL100560,29,Salaried,Permanent,30500,3.0,5900,Car,New,925000,92600,832400,7,Personal,4,Rejected
VL100561,30,Business Owner,Business,76500,1.3,11500,Car,New,708000,172100,535900,5,Business,1,Approved
VL100562,21,Government Employee,Permanent,35500,0.1,8200,Commercial Vehicle,New,1629000,342200,1286800,2,Commercial,2,Rejected
VL100563,43,Salaried,Permanent,34900,23.0,0,Commercial Vehicle,New,1792000,519100,1272900,5,Personal,3,Approved
VL100564,33,Self Employed,Self Employed,87300,7.2,10300,Motorcycle,Used,70000,16600,53400,7,Commercial,3,Approved
VL100565,40,Salaried,Permanent,32500,1.9,2500,Car,Used,606000,145200,460800,1,Personal,3,Approved
VL100566,37,Salaried,Permanent,49200,16.7,7400,Car,New,686000,136200,549800,2,Personal,1,Approved
VL100567,21,Salaried,Permanent,16500,0.1,700,Car,Used,561000,140800,420200,3,Commercial,0,Rejected
VL100568,21,Business Owner,Business,19300,0.1,2100,Motorcycle,Used,51000,4500,46500,2,Commercial,2,Rejected
VL100569,28,Private Employee,Permanent,56900,1.3,3500,Commercial Vehicle,New,2037000,0,2037000,2,Commercial,3,Rejected
VL100570,50,Government Employee,Permanent,27200,4.7,3600,Car,New,946000,358700,587300,2,Personal,2,Approved
VL100571,31,Private Employee,Permanent,49900,11.0,9900,Scooter,New,70000,3500,66500,5,Personal,4,Approved
VL100572,49,Salaried,Permanent,68000,24.0,0,Scooter,New,79000,28600,50400,5,Personal,0,Approved
VL100573,21,Salaried,Permanent,22000,0.1,1500,Scooter,Used,43000,5800,37200,7,Commercial,1,Rejected
VL100574,40,Salaried,Permanent,109100,7.6,25800,SUV,New,1660000,557000,1103000,3,Personal,3,Rejected
VL100575,40,Salaried,Permanent,23600,4.6,4200,Motorcycle,Used,77000,25200,51800,1,Personal,4,Rejected
VL100576,22,Salaried,Permanent,43100,0.2,6300,Motorcycle,New,112000,21300,90700,5,Personal,2,Approved
VL100577,21,Private Employee,Permanent,60300,0.2,1900,Scooter,New,80000,15200,64800,3,Commercial,2,Rejected
VL100578,47,Private Employee,Permanent,42500,5.0,1700,Scooter,New,80000,11100,68900,2,Personal,1,Approved
VL100579,26,Private Employee,Permanent,49300,1.9,5500,Electric Vehicle,New,1547000,315600,1231400,5,Personal,0,Approved
VL100580,45,Self Employed,Self Employed,27200,6.3,2400,Electric Vehicle,New,1208000,278600,929400,5,Personal,2,Rejected
VL100581,27,Salaried,Contract,31000,2.9,200,Car,Used,700000,275600,424400,5,Personal,0,Rejected
VL100582,43,Salaried,Permanent,43100,18.1,2600,Electric Vehicle,New,1301000,49000,1252000,3,Personal,1,Approved
VL100583,32,Self Employed,Self Employed,49300,2.5,14400,Scooter,Used,53000,9900,43100,5,Personal,0,Rejected
VL100584,42,Salaried,Permanent,20300,22.0,2700,Motorcycle,New,124000,33200,90800,5,Personal,4,Rejected
VL100585,40,Salaried,Permanent,46100,19.9,0,Car,Used,373000,31200,341800,5,Business,2,Approved
VL100586,47,Self Employed,Self Employed,28700,1.6,6700,Car,New,855000,261500,593500,5,Commercial,2,Rejected
VL100587,47,Business Owner,Business,26500,27.0,1400,Car,New,688000,217300,470700,2,Personal,1,Approved
VL100588,40,Salaried,Permanent,64800,4.3,16000,SUV,Used,758000,210100,547900,7,Personal,1,Approved
VL100589,31,Salaried,Permanent,33300,0.7,5800,Motorcycle,Used,72000,11800,60200,7,Personal,4,Approved
VL100590,21,Government Employee,Permanent,35900,0.8,0,Car,Used,469000,131400,337600,2,Personal,3,Approved
VL100591,32,Government Employee,Permanent,45500,4.2,0,Car,Used,384000,72200,311800,5,Personal,0,Approved
VL100592,32,Professional,Contract,47700,3.6,4700,Motorcycle,New,114000,19000,95000,2,Personal,0,Approved
VL100593,48,Salaried,Permanent,35800,5.6,4900,Car,New,871000,238300,632700,2,Commercial,2,Rejected
VL100594,46,Professional,Permanent,36300,26.0,5400,Motorcycle,New,110000,17200,92800,1,Personal,0,Approved
VL100595,35,Government Employee,Permanent,25600,5.2,4600,Motorcycle,New,116000,33100,82900,2,Personal,1,Rejected
VL100596,39,Salaried,Permanent,39700,3.8,3400,Motorcycle,New,121000,34300,86700,5,Personal,2,Approved
VL100597,50,Government Employee,Permanent,41700,5.2,0,Car,Used,375000,112800,262200,3,Personal,0,Approved
VL100598,28,Private Employee,Permanent,57100,3.5,3900,Motorcycle,New,97000,13000,84000,1,Personal,1,Approved
VL100599,36,Private Employee,Contract,61400,5.2,0,Motorcycle,New,117000,29800,87200,3,Business,4,Approved
VL100600,27,Private Employee,Permanent,27200,2.1,1900,Motorcycle,New,108000,18900,89100,3,Commercial,0,Approved
VL100601,41,Salaried,Permanent,58100,10.1,11400,Scooter,Used,40000,15700,24300,7,Personal,1,Approved
VL100602,30,Professional,Permanent,22600,8.0,5000,Car,New,918000,76300,841700,5,Commercial,0,Rejected
VL100603,21,Salaried,Permanent,40900,0.1,2500,Scooter,Used,41000,8800,32200,3,Personal,0,Approved
VL100604,45,Private Employee,Permanent,61800,3.7,8200,Electric Vehicle,Used,735000,142500,592500,3,Personal,0,Approved
VL100605,33,Private Employee,Contract,65500,2.0,0,Scooter,New,75000,15300,59700,2,Commercial,4,Approved
VL100606,47,Government Employee,Permanent,46300,18.0,8100,Scooter,New,89000,7700,81300,2,Personal,2,Approved
VL100607,45,Self Employed,Self Employed,61200,3.9,2300,Motorcycle,New,103000,13700,89300,3,Business,3,Approved
VL100608,37,Salaried,Contract,43700,17.0,2900,Commercial Vehicle,Used,1303000,99500,1203500,3,Business,0,Approved
VL100609,21,Salaried,Permanent,29300,0.3,4500,Commercial Vehicle,Used,1351000,98400,1252600,3,Business,0,Rejected
VL100610,38,Private Employee,Permanent,63200,3.7,4100,SUV,New,1431000,243900,1187100,5,Business,3,Approved
VL100611,31,Private Employee,Contract,15000,6.0,2100,Motorcycle,Used,45000,18500,26500,5,Commercial,0,Approved
VL100612,55,Self Employed,Self Employed,46600,12.6,3300,SUV,New,1314000,367700,946300,2,Personal,0,Approved
VL100613,39,Private Employee,Permanent,30000,7.4,4000,Car,New,917000,130700,786300,3,Personal,1,Rejected
VL100614,48,Salaried,Permanent,36700,1.1,3600,Car,Used,555000,104100,450900,3,Personal,1,Rejected
VL100615,37,Government Employee,Permanent,104000,2.4,19800,Motorcycle,New,111000,10700,100300,2,Personal,2,Rejected
VL100616,47,Private Employee,Contract,48600,9.6,1900,SUV,Used,938000,0,938000,3,Personal,1,Approved
VL100617,40,Professional,Permanent,27800,20.0,4400,Car,Used,386000,79100,306900,1,Personal,1,Rejected
VL100618,31,Government Employee,Permanent,16200,3.3,1600,Scooter,Used,60000,10900,49100,5,Business,1,Rejected
VL100619,45,Salaried,Permanent,25200,9.6,3400,Motorcycle,New,119000,21900,97100,3,Personal,1,Rejected
VL100620,21,Professional,Contract,55500,0.8,2400,Motorcycle,Used,71000,11500,59500,5,Personal,1,Approved
VL100621,48,Business Owner,Business,29400,15.8,6600,Motorcycle,New,117000,18300,98700,2,Business,2,Rejected
VL100622,48,Private Employee,Permanent,34400,10.2,4800,Car,New,816000,200600,615400,5,Personal,1,Approved
VL100623,39,Private Employee,Permanent,31800,5.4,0,Motorcycle,Used,60000,6100,53900,2,Commercial,1,Rejected
VL100624,30,Professional,Permanent,23800,1.2,4100,Motorcycle,New,99000,20600,78400,2,Commercial,1,Rejected
VL100625,24,Salaried,Contract,82100,4.0,21000,Car,Used,377000,16900,360100,3,Commercial,1,Approved
VL100626,42,Self Employed,Self Employed,40000,7.4,900,Electric Vehicle,Used,880000,327800,552200,3,Personal,1,Approved
VL100627,40,Salaried,Contract,44100,11.8,1000,Motorcycle,Used,89000,24000,65000,7,Personal,1,Approved
VL100628,21,Salaried,Permanent,82900,0.3,17800,Car,Used,382000,54200,327800,5,Personal,1,Approved
VL100629,30,Salaried,Permanent,33600,5.7,1600,Electric Vehicle,New,1479000,250200,1228800,5,Personal,2,Approved
VL100630,21,Salaried,Permanent,29600,1.0,5200,Scooter,Used,40000,10900,29100,7,Business,3,Rejected
VL100631,33,Salaried,Contract,37300,6.4,4400,Motorcycle,New,99000,28100,70900,1,Business,3,Approved
VL100632,29,Private Employee,Permanent,19700,2.1,1200,Motorcycle,New,95000,14400,80600,5,Personal,2,Rejected
VL100633,34,Self Employed,Self Employed,40100,6.5,4200,Motorcycle,New,95000,14300,80700,5,Personal,2,Approved
VL100634,24,Self Employed,Self Employed,35500,0.8,6700,Scooter,New,71000,10400,60600,5,Commercial,1,Rejected
VL100635,46,Salaried,Permanent,33000,19.9,4500,Motorcycle,Used,57000,15200,41800,2,Personal,4,Approved
VL100636,21,Government Employee,Permanent,59100,0.7,1300,SUV,New,1554000,272900,1281100,3,Business,1,Approved
VL100637,42,Government Employee,Permanent,39700,10.0,2800,Car,New,740000,184100,555900,3,Personal,0,Approved
VL100638,44,Government Employee,Permanent,41900,10.4,7500,Commercial Vehicle,New,2083000,490700,1592300,7,Commercial,3,Rejected
VL100639,22,Professional,Permanent,42700,0.3,10300,Car,Used,571000,93000,478000,7,Commercial,2,Approved
VL100640,30,Government Employee,Permanent,44000,3.1,7000,Motorcycle,New,104000,8500,95500,1,Personal,0,Approved
VL100641,35,Private Employee,Permanent,32500,2.4,9500,SUV,New,1275000,376300,898700,3,Commercial,2,Rejected
VL100642,21,Business Owner,Business,18100,0.9,1500,Car,New,801000,170500,630500,2,Personal,0,Rejected
VL100643,32,Private Employee,Permanent,24900,5.0,3900,Scooter,Used,40000,8700,31300,3,Commercial,3,Rejected
VL100644,21,Government Employee,Permanent,31800,0.1,4000,Car,Used,545000,108300,436700,3,Personal,0,Approved
VL100645,32,Salaried,Permanent,49100,12.0,12400,Scooter,New,64000,5700,58300,5,Business,1,Approved
VL100646,28,Self Employed,Self Employed,43600,2.3,4600,Motorcycle,Used,55000,9000,46000,2,Business,2,Rejected
VL100647,36,Self Employed,Self Employed,66500,8.2,12800,Commercial Vehicle,New,1620000,363400,1256600,2,Business,2,Approved
VL100648,30,Business Owner,Business,37300,4.2,3500,Motorcycle,Used,76000,11600,64400,5,Personal,1,Approved
VL100649,37,Private Employee,Permanent,118400,2.4,5300,SUV,New,1254000,293100,960900,5,Personal,2,Approved
VL100650,28,Salaried,Permanent,62900,8.0,15200,Scooter,New,66000,12500,53500,5,Personal,0,Rejected
VL100651,21,Business Owner,Business,26500,0.8,2400,Scooter,Used,48000,3700,44300,3,Personal,4,Rejected
VL100652,31,Salaried,Contract,34200,6.6,4000,Motorcycle,New,101000,3500,97500,2,Personal,1,Approved
VL100653,21,Government Employee,Permanent,29300,0.3,800,Commercial Vehicle,Used,1115000,263600,851400,2,Personal,3,Rejected
VL100654,42,Private Employee,Permanent,49200,4.0,8700,Electric Vehicle,New,1402000,180000,1222000,7,Personal,1,Approved
VL100655,23,Private Employee,Permanent,47000,1.2,0,SUV,New,1465000,254400,1210600,5,Business,0,Approved
VL100656,43,Self Employed,Self Employed,49600,23.0,100,Car,New,894000,111500,782500,5,Business,0,Rejected
VL100657,39,Private Employee,Permanent,15000,2.4,2900,Car,Used,422000,123800,298200,5,Personal,4,Rejected
VL100658,35,Private Employee,Contract,25700,6.6,2700,SUV,New,1662000,129800,1532200,2,Commercial,0,Rejected
VL100659,45,Private Employee,Permanent,23400,7.4,1700,Motorcycle,New,123000,34700,88300,5,Personal,2,Rejected
VL100660,21,Government Employee,Permanent,37900,0.4,400,Car,New,806000,59100,746900,5,Personal,2,Approved
VL100661,33,Professional,Permanent,22900,1.7,3300,Car,Used,565000,142000,423000,5,Personal,2,Rejected
VL100662,34,Salaried,Permanent,27500,4.2,4700,SUV,New,1494000,277500,1216500,2,Personal,2,Rejected
VL100663,30,Private Employee,Permanent,20700,0.3,2800,Motorcycle,New,107000,22300,84700,3,Commercial,2,Rejected
VL100664,34,Professional,Permanent,39000,6.6,0,Commercial Vehicle,New,1766000,398600,1367400,3,Personal,0,Approved
