Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Loan_Amount,Loan_Tenure,Property_Value,Down_Payment,Property_Type,Property_Location_Type,Number_of_Dependents,Loan_Approval
HL100475,32,Government Employee,Permanent,30400,1.9,3000,2501000,20,3416000,915000,Independent House,Rural,4,Approved
HL100476,45,Private Employee,Permanent,68200,15.4,0,6049000,10,6749000,700000,Apartment,Semi Urban,2,Approved
HL100477,35,Private Employee,Permanent,137800,2.4,6600,8267000,20,10404000,2137000,Plot,Semi Urban,1,Approved
HL100478,35,Private Employee,Permanent,105700,6.4,0,9093000,10,14657000,5564000,Independent House,Semi Urban,2,Approved
HL100479,43,Government Employee,Permanent,26100,18.6,2200,1326000,5,1894000,568000,Independent House,Semi Urban,1,Approved
HL100480,23,Government Employee,Permanent,40400,0.6,3600,2764000,30,3782000,1018000,Plot,Rural,2,Rejected
HL100481,52,Salaried,Permanent,65500,31.0,8300,7615000,5,10171000,2556000,Independent House,Semi Urban,1,Rejected
HL100482,40,Private Employee,Permanent,52500,12.9,11500,5356000,15,6618000,1262000,Builder Floor,Urban,2,Rejected
HL100483,50,Government Employee,Permanent,27400,5.7,4800,3835000,20,4167000,332000,Plot,Semi Urban,2,Rejected
HL100484,28,Salaried,Contract,64400,1.0,0,5881000,15,7910000,2029000,Apartment,Urban,1,Approved
HL100485,30,Government Employee,Permanent,51200,2.2,8600,4184000,15,4404000,220000,Independent House,Rural,0,Rejected
HL100486,28,Private Employee,Permanent,128200,3.1,16500,8232000,25,10213000,1981000,Builder Floor,Semi Urban,1,Rejected
HL100487,40,Salaried,Contract,48300,19.0,5400,3853000,20,4938000,1085000,Builder Floor,Semi Urban,2,Approved
HL100488,39,Private Employee,Permanent,91600,18.0,10800,8622000,20,10569000,1947000,Apartment,Urban,3,Approved
HL100489,34,Private Employee,Permanent,30600,3.9,4200,3119000,25,5144000,2025000,Apartment,Urban,3,Approved
HL100490,29,Self Employed,Self Employed,34100,2.4,2200,3799000,10,5992000,2193000,Apartment,Urban,4,Rejected
HL100491,27,Private Employee,Permanent,75000,4.6,7900,3764000,20,5398000,1634000,Builder Floor,Semi Urban,3,Approved
HL100492,38,Private Employee,Permanent,88200,12.8,18900,5939000,15,6954000,1015000,Builder Floor,Semi Urban,4,Rejected
HL100493,34,Government Employee,Permanent,33500,13.0,2100,3086000,5,4927000,1841000,Plot,Urban,2,Approved
HL100494,32,Self Employed,Self Employed,54800,11.0,2100,5231000,30,7161000,1930000,Apartment,Urban,1,Approved
HL100495,52,Private Employee,Permanent,29100,7.1,3300,2769000,25,3237000,468000,Builder Floor,Urban,2,Rejected
HL100496,37,Private Employee,Permanent,49900,1.8,1500,4166000,15,5359000,1193000,Apartment,Urban,0,Approved
HL100497,49,Private Employee,Permanent,79000,19.3,0,4261000,15,6058000,1797000,Independent House,Rural,0,Approved
HL100498,33,Government Employee,Permanent,42300,6.4,3900,3491000,15,4217000,726000,Apartment,Rural,1,Rejected
HL100499,40,Private Employee,Permanent,48400,1.2,11400,2663000,20,3464000,801000,Independent House,Semi Urban,1,Rejected
HL100500,38,Self Employed,Self Employed,32600,1.9,3800,3862000,15,5117000,1255000,Independent House,Urban,2,Rejected
HL100501,23,Business Owner,Business,50600,1.3,6800,4901000,30,5646000,745000,Apartment,Urban,1,Rejected
HL100502,51,Professional,Contract,137400,12.4,0,10150000,15,12662000,2512000,Apartment,Rural,0,Rejected
HL100503,37,Private Employee,Contract,56000,10.8,8700,4819000,15,5590000,771000,Plot,Rural,3,Rejected
HL100504,45,Private Employee,Permanent,34500,4.4,4400,2510000,30,3532000,1022000,Apartment,Urban,2,Approved
HL100505,31,Self Employed,Self Employed,47000,7.1,3100,5992000,25,7028000,1036000,Independent House,Semi Urban,1,Rejected
HL100506,37,Government Employee,Permanent,25100,9.3,3400,2870000,15,3793000,923000,Apartment,Urban,1,Rejected
HL100507,30,Business Owner,Business,42900,6.7,5700,6522000,20,7318000,796000,Apartment,Urban,0,Rejected
HL100508,49,Private Employee,Permanent,99900,9.0,3500,8339000,25,9578000,1239000,Apartment,Rural,3,Approved
HL100509,41,Salaried,Permanent,50800,5.4,7400,4113000,20,4703000,590000,Villa,Rural,1,Rejected
HL100510,41,Salaried,Permanent,126900,2.6,27400,7914000,20,9853000,1939000,Independent House,Rural,4,Rejected
HL100511,50,Business Owner,Business,64900,10.5,6600,6801000,20,8884000,2083000,Apartment,Urban,1,Rejected
HL100512,48,Salaried,Permanent,53300,25.0,2700,5678000,30,7563000,1885000,Plot,Urban,3,Rejected
HL100513,45,Government Employee,Permanent,68700,24.0,7300,5803000,20,6295000,492000,Apartment,Rural,0,Rejected
HL100514,25,Government Employee,Permanent,18000,0.7,3400,1187000,10,1496000,309000,Plot,Semi Urban,2,Rejected
HL100515,32,Salaried,Contract,59400,4.9,1300,5428000,20,6461000,1033000,Apartment,Urban,1,Approved
HL100516,29,Government Employee,Permanent,50300,8.0,8400,3040000,25,4123000,1083000,Builder Floor,Urban,1,Approved
HL100517,45,Self Employed,Self Employed,105700,24.0,7000,9617000,20,12000000,2383000,Apartment,Urban,4,Approved
HL100518,40,Salaried,Permanent,83600,6.7,11700,8039000,15,10222000,2183000,Independent House,Semi Urban,2,Approved
HL100519,25,Business Owner,Business,40700,3.9,3000,4531000,20,5397000,866000,Villa,Rural,1,Rejected
HL100520,36,Business Owner,Business,118400,13.1,8800,7519000,20,11711000,4192000,Independent House,Urban,2,Approved
HL100521,25,Government Employee,Permanent,45700,3.3,11100,3479000,30,3941000,462000,Plot,Urban,0,Rejected
HL100522,38,Salaried,Permanent,36100,1.6,300,3258000,15,4013000,755000,Apartment,Urban,3,Rejected
HL100523,23,Private Employee,Permanent,59200,0.6,9400,3841000,25,4979000,1138000,Independent House,Semi Urban,1,Approved
HL100524,43,Salaried,Contract,49500,9.0,12800,6039000,20,7548000,1509000,Builder Floor,Urban,0,Rejected
HL100525,41,Government Employee,Permanent,102800,8.0,18000,7012000,10,8337000,1325000,Builder Floor,Urban,1,Approved
HL100526,55,Professional,Contract,72600,14.9,1000,10628000,20,11491000,863000,Independent House,Semi Urban,0,Approved
HL100527,46,Professional,Contract,68300,25.0,1200,9645000,5,11547000,1902000,Independent House,Urban,4,Approved
HL100528,34,Self Employed,Self Employed,81300,4.7,4900,7952000,25,9281000,1329000,Plot,Semi Urban,1,Approved
HL100529,45,Government Employee,Permanent,84200,14.4,11200,8312000,25,12873000,4561000,Plot,Semi Urban,0,Rejected
HL100530,25,Self Employed,Self Employed,77100,2.3,10600,6718000,10,11218000,4500000,Builder Floor,Urban,3,Approved
HL100531,29,Self Employed,Self Employed,102600,3.5,1900,12826000,20,16358000,3532000,Plot,Semi Urban,1,Approved
HL100532,41,Government Employee,Permanent,67700,3.6,3400,5742000,30,6435000,693000,Independent House,Semi Urban,0,Approved
HL100533,22,Private Employee,Permanent,58400,0.5,3200,6725000,15,9328000,2603000,Villa,Semi Urban,2,Approved
HL100534,38,Salaried,Contract,94600,1.0,10000,7003000,30,8157000,1154000,Independent House,Semi Urban,0,Rejected
HL100535,29,Salaried,Permanent,52000,5.1,14500,5016000,10,6088000,1072000,Apartment,Urban,3,Rejected
HL100536,39,Private Employee,Permanent,55000,0.9,2500,8097000,5,9752000,1655000,Plot,Urban,2,Rejected
HL100537,28,Salaried,Permanent,117600,4.2,4900,11462000,20,13977000,2515000,Independent House,Urban,1,Approved
HL100538,42,Salaried,Permanent,112400,5.8,3300,9287000,15,11489000,2202000,Apartment,Urban,1,Approved
HL100539,38,Business Owner,Business,67500,3.4,11500,5177000,25,5849000,672000,Villa,Urban,1,Rejected
HL100540,51,Professional,Permanent,50800,23.0,5900,4075000,20,4873000,798000,Apartment,Urban,2,Approved
HL100541,38,Private Employee,Permanent,104700,5.6,5100,7456000,20,10676000,3220000,Apartment,Semi Urban,2,Approved
HL100542,31,Business Owner,Business,97100,4.7,8800,9431000,20,12050000,2619000,Independent House,Urban,2,Approved
HL100543,36,Professional,Permanent,71800,1.5,4100,5584000,20,7252000,1668000,Plot,Rural,1,Approved
HL100544,26,Salaried,Permanent,46900,5.0,6700,6381000,25,6717000,336000,Independent House,Semi Urban,3,Rejected
HL100545,42,Private Employee,Permanent,62900,10.6,21100,3627000,20,5151000,1524000,Apartment,Urban,0,Rejected
HL100546,43,Government Employee,Permanent,51000,11.0,8400,6204000,25,7431000,1227000,Independent House,Semi Urban,3,Rejected
HL100547,60,Salaried,Permanent,40200,25.4,4500,3891000,20,5638000,1747000,Apartment,Urban,0,Approved
HL100548,32,Self Employed,Self Employed,57400,0.3,3800,5172000,15,6737000,1565000,Builder Floor,Rural,3,Approved
HL100549,36,Private Employee,Permanent,61000,15.0,800,5908000,20,7162000,1254000,Apartment,Rural,2,Approved
HL100550,33,Private Employee,Permanent,45800,4.2,8200,6335000,15,6929000,594000,Builder Floor,Semi Urban,0,Rejected
HL100551,40,Salaried,Permanent,81400,19.0,14200,3868000,15,6382000,2514000,Apartment,Semi Urban,1,Approved
HL100552,41,Salaried,Permanent,96800,6.8,8000,7152000,15,9992000,2840000,Apartment,Rural,3,Rejected
HL100553,38,Professional,Contract,96400,4.8,20900,10405000,15,14635000,4230000,Independent House,Semi Urban,3,Approved
HL100554,48,Salaried,Permanent,47800,16.8,5800,3473000,10,5474000,2001000,Plot,Rural,2,Approved
HL100555,32,Salaried,Permanent,76100,11.0,13800,5248000,25,6887000,1639000,Builder Floor,Urban,1,Approved
HL100556,47,Government Employee,Permanent,53300,25.5,7700,3813000,25,5675000,1862000,Independent House,Rural,2,Approved
HL100557,43,Private Employee,Permanent,31100,14.7,3300,3614000,15,4416000,802000,Apartment,Semi Urban,1,Approved
HL100558,38,Private Employee,Permanent,73300,10.5,3200,5758000,30,7986000,2228000,Apartment,Urban,2,Approved
HL100559,35,Private Employee,Permanent,57900,6.8,6300,5188000,30,6247000,1059000,Independent House,Rural,1,Rejected
HL100560,60,Salaried,Permanent,174000,39.0,32600,20508000,25,25000000,4492000,Apartment,Semi Urban,3,Approved
HL100561,31,Salaried,Permanent,104400,7.8,8300,8028000,5,10396000,2368000,Builder Floor,Rural,2,Approved
HL100562,41,Business Owner,Business,93300,2.6,14500,8273000,15,9386000,1113000,Independent House,Urban,1,Approved
HL100563,31,Private Employee,Permanent,60600,2.0,2000,5456000,20,7240000,1784000,Plot,Semi Urban,2,Approved
HL100564,54,Private Employee,Permanent,58300,22.6,10600,5768000,25,7166000,1398000,Plot,Semi Urban,1,Approved
HL100565,46,Self Employed,Self Employed,34500,4.3,5000,3959000,20,4216000,257000,Apartment,Urban,0,Rejected
HL100566,32,Self Employed,Self Employed,24800,5.5,600,2656000,20,3253000,597000,Independent House,Semi Urban,1,Approved
HL100567,43,Salaried,Permanent,36600,18.1,3700,3222000,25,3989000,767000,Builder Floor,Semi Urban,1,Rejected
HL100568,40,Government Employee,Permanent,50400,11.9,9800,6145000,30,8634000,2489000,Independent House,Urban,1,Approved
HL100569,33,Private Employee,Contract,21000,1.8,400,2246000,20,2966000,720000,Independent House,Semi Urban,2,Approved
HL100570,45,Government Employee,Permanent,40300,5.1,1400,4384000,30,6601000,2217000,Builder Floor,Urban,2,Approved
HL100571,42,Business Owner,Business,60600,13.4,6900,5251000,25,7111000,1860000,Apartment,Semi Urban,1,Rejected
HL100572,40,Private Employee,Permanent,49200,19.0,14300,3022000,15,3666000,644000,Builder Floor,Rural,4,Approved
HL100573,38,Self Employed,Self Employed,40200,7.3,2700,4904000,25,6250000,1346000,Apartment,Urban,3,Rejected
HL100574,42,Business Owner,Business,58100,17.7,9300,4113000,10,5091000,978000,Independent House,Urban,0,Approved
HL100575,40,Private Employee,Permanent,117700,11.9,16600,11692000,10,15780000,4088000,Apartment,Urban,1,Approved
HL100576,39,Professional,Permanent,83900,4.9,6100,5592000,30,7214000,1622000,Independent House,Urban,3,Rejected
HL100577,32,Private Employee,Contract,42100,9.3,5600,3493000,15,4207000,714000,Apartment,Rural,1,Rejected
HL100578,53,Business Owner,Business,65700,3.1,5500,7756000,20,9953000,2197000,Apartment,Urban,1,Rejected
HL100579,29,Government Employee,Permanent,50800,6.5,4600,4676000,30,6293000,1617000,Independent House,Urban,4,Approved
HL100580,42,Private Employee,Permanent,38300,13.8,0,4075000,15,4736000,661000,Apartment,Urban,2,Rejected
HL100581,35,Private Employee,Contract,38300,4.1,4500,2342000,15,3104000,762000,Independent House,Semi Urban,3,Approved
HL100582,54,Salaried,Permanent,85400,6.2,16400,7520000,10,8298000,778000,Apartment,Semi Urban,3,Rejected
HL100583,30,Government Employee,Permanent,42600,2.9,5300,3726000,20,5388000,1662000,Apartment,Urban,0,Approved
HL100584,31,Professional,Permanent,38100,2.6,7900,4775000,10,6472000,1697000,Apartment,Urban,2,Rejected
HL100585,29,Private Employee,Permanent,53100,3.0,8800,5983000,10,9210000,3227000,Independent House,Urban,3,Approved
HL100586,41,Salaried,Permanent,57100,6.9,6600,8895000,25,10232000,1337000,Apartment,Urban,1,Rejected
HL100587,26,Government Employee,Permanent,21200,1.5,1500,1328000,15,1927000,599000,Apartment,Urban,0,Approved
HL100588,34,Salaried,Permanent,53200,1.2,4300,3626000,20,5142000,1516000,Independent House,Semi Urban,0,Rejected
HL100589,22,Salaried,Permanent,80100,0.2,200,8173000,10,10286000,2113000,Plot,Urban,2,Approved
HL100590,40,Professional,Permanent,76300,17.8,7500,9082000,20,11210000,2128000,Villa,Urban,2,Rejected
HL100591,33,Private Employee,Contract,147800,3.6,19500,17072000,20,19695000,2623000,Apartment,Semi Urban,3,Approved
HL100592,25,Government Employee,Permanent,90400,1.5,23300,11294000,15,12723000,1429000,Builder Floor,Semi Urban,1,Approved
HL100593,48,Private Employee,Permanent,104000,8.9,16900,11518000,15,13710000,2192000,Independent House,Urban,2,Rejected
HL100594,26,Salaried,Permanent,191000,5.0,9700,22012000,15,25000000,2988000,Independent House,Urban,0,Approved
HL100595,45,Salaried,Contract,76200,6.1,400,7777000,10,11922000,4145000,Apartment,Semi Urban,4,Approved
HL100596,32,Self Employed,Self Employed,58300,2.6,6000,5528000,10,6141000,613000,Apartment,Urban,2,Approved
HL100597,52,Private Employee,Permanent,84000,20.6,15500,9183000,20,11956000,2773000,Independent House,Semi Urban,2,Approved
HL100598,45,Professional,Contract,48400,12.7,5000,4835000,10,6489000,1654000,Apartment,Semi Urban,1,Rejected
HL100599,29,Private Employee,Contract,56900,5.4,9300,3002000,15,3995000,993000,Villa,Rural,0,Approved
HL100600,30,Private Employee,Permanent,40500,5.8,4300,5318000,10,7144000,1826000,Apartment,Urban,0,Approved
HL100601,43,Self Employed,Self Employed,64800,19.0,11500,7714000,25,10953000,3239000,Apartment,Urban,3,Rejected
HL100602,36,Professional,Permanent,46500,2.2,0,4519000,15,5540000,1021000,Apartment,Rural,0,Rejected
HL100603,36,Self Employed,Self Employed,39800,9.3,9900,2880000,20,3726000,846000,Apartment,Urban,3,Rejected
HL100604,49,Professional,Permanent,75000,6.7,2300,5722000,20,7122000,1400000,Independent House,Urban,1,Approved
HL100605,31,Self Employed,Self Employed,50900,0.7,9300,4523000,15,6693000,2170000,Apartment,Semi Urban,2,Approved
HL100606,39,Business Owner,Business,28400,11.6,2800,1592000,15,2602000,1010000,Independent House,Urban,1,Approved
HL100607,47,Salaried,Permanent,28100,16.1,3100,1973000,15,2254000,281000,Apartment,Semi Urban,0,Approved
HL100608,45,Self Employed,Self Employed,32300,10.9,3300,2744000,20,2911000,167000,Independent House,Rural,2,Rejected
HL100609,37,Private Employee,Permanent,36400,14.0,5100,1885000,15,2566000,681000,Builder Floor,Semi Urban,1,Approved
HL100610,35,Private Employee,Contract,65300,3.4,10200,7036000,10,10133000,3097000,Builder Floor,Urban,1,Approved
HL100611,22,Private Employee,Contract,59800,0.7,12200,3759000,30,6029000,2270000,Independent House,Rural,2,Approved
HL100612,28,Professional,Permanent,100600,2.9,23400,5588000,25,7750000,2162000,Independent House,Semi Urban,1,Approved
HL100613,41,Professional,Permanent,87400,8.6,12800,7989000,10,11953000,3964000,Villa,Urban,2,Approved
HL100614,37,Government Employee,Permanent,83400,1.2,21400,4041000,30,6244000,2203000,Builder Floor,Semi Urban,2,Approved
HL100615,39,Self Employed,Self Employed,71200,15.8,9100,4145000,10,6253000,2108000,Independent House,Urban,0,Rejected
HL100616,47,Self Employed,Self Employed,59500,15.7,12300,5519000,10,7779000,2260000,Apartment,Urban,1,Rejected
HL100617,27,Government Employee,Permanent,84400,4.2,13000,8565000,10,9705000,1140000,Plot,Semi Urban,0,Approved
HL100618,36,Salaried,Contract,81900,3.2,6200,7390000,30,9466000,2076000,Apartment,Urban,0,Rejected
HL100619,40,Salaried,Contract,64200,10.6,8600,7031000,15,9300000,2269000,Plot,Urban,0,Approved
HL100620,32,Self Employed,Self Employed,96000,4.5,15400,7933000,25,10067000,2134000,Apartment,Semi Urban,2,Rejected
HL100621,51,Private Employee,Contract,18900,18.8,2200,2091000,20,2670000,579000,Apartment,Urban,0,Approved
HL100622,46,Professional,Permanent,54700,13.5,8400,4179000,20,6384000,2205000,Plot,Urban,3,Approved
HL100623,41,Private Employee,Contract,47200,20.0,8900,6129000,15,7292000,1163000,Villa,Urban,2,Rejected
HL100624,54,Professional,Permanent,104700,33.0,12400,9157000,10,12788000,3631000,Independent House,Semi Urban,0,Approved
HL100625,25,Government Employee,Permanent,104400,1.5,0,5653000,25,7490000,1837000,Plot,Rural,2,Approved
HL100626,38,Self Employed,Self Employed,28200,11.0,7200,3626000,15,4273000,647000,Builder Floor,Urban,0,Rejected
HL100627,41,Salaried,Permanent,102200,7.0,9800,12442000,20,14365000,1923000,Independent House,Semi Urban,0,Approved
HL100628,30,Private Employee,Permanent,32000,7.7,1700,2560000,10,2794000,234000,Builder Floor,Urban,4,Rejected
HL100629,41,Business Owner,Business,40500,8.4,1200,4311000,25,5817000,1506000,Apartment,Urban,1,Rejected
HL100630,28,Professional,Permanent,56100,2.2,5200,7149000,20,9106000,1957000,Apartment,Urban,0,Approved
HL100631,44,Business Owner,Business,58700,12.7,4400,4587000,20,5422000,835000,Plot,Urban,3,Approved
HL100632,48,Salaried,Contract,26900,27.0,1600,4349000,20,4676000,327000,Independent House,Urban,3,Rejected
HL100633,40,Government Employee,Permanent,69000,17.1,4500,5520000,15,7406000,1886000,Builder Floor,Semi Urban,2,Approved
HL100634,22,Salaried,Permanent,73600,0.3,12000,7970000,15,10039000,2069000,Apartment,Semi Urban,2,Approved
HL100635,29,Salaried,Permanent,87100,8.0,24600,9353000,10,11173000,1820000,Apartment,Rural,3,Rejected
HL100636,43,Self Employed,Self Employed,44600,4.9,8300,5168000,20,6030000,862000,Apartment,Rural,2,Rejected
HL100637,38,Self Employed,Self Employed,53200,4.8,11200,5992000,5,7498000,1506000,Independent House,Urban,2,Approved
HL100638,22,Self Employed,Self Employed,53400,0.8,4800,6081000,5,8191000,2110000,Plot,Urban,3,Approved
HL100639,49,Business Owner,Business,144700,1.8,18600,12433000,5,15418000,2985000,Independent House,Urban,2,Approved
HL100640,39,Self Employed,Self Employed,18000,8.5,2800,1741000,15,1989000,248000,Apartment,Urban,1,Rejected
HL100641,31,Business Owner,Business,44000,3.7,3000,4301000,20,5482000,1181000,Apartment,Rural,0,Approved
HL100642,47,Salaried,Permanent,54300,26.0,4700,4602000,20,6609000,2007000,Apartment,Urban,1,Approved
HL100643,32,Salaried,Contract,33200,2.1,6300,4272000,15,5499000,1227000,Villa,Urban,0,Rejected
HL100644,32,Private Employee,Permanent,48200,2.3,10000,3201000,15,4133000,932000,Villa,Urban,0,Approved
HL100645,41,Business Owner,Business,64000,20.0,8000,3931000,20,4877000,946000,Apartment,Rural,1,Rejected
HL100646,54,Salaried,Permanent,40300,12.4,1000,3366000,20,3954000,588000,Independent House,Urban,4,Approved
HL100647,53,Private Employee,Permanent,55800,31.3,5400,5595000,25,6553000,958000,Villa,Semi Urban,0,Approved
HL100648,41,Self Employed,Self Employed,71900,6.6,300,5831000,25,6387000,556000,Apartment,Urban,1,Rejected
HL100649,42,Salaried,Contract,48700,5.8,6100,3876000,25,5654000,1778000,Independent House,Urban,3,Approved
HL100650,45,Government Employee,Permanent,42000,24.0,5900,5697000,25,7668000,1971000,Independent House,Urban,1,Approved
HL100651,27,Business Owner,Business,62900,6.0,6200,6882000,25,8899000,2017000,Independent House,Semi Urban,2,Approved
HL100652,44,Self Employed,Self Employed,54000,23.0,7500,5654000,20,7476000,1822000,Apartment,Semi Urban,2,Approved
HL100653,31,Salaried,Permanent,24800,3.1,3800,1764000,20,2343000,579000,Apartment,Urban,2,Rejected
HL100654,41,Business Owner,Business,83400,9.1,11700,8271000,25,9861000,1590000,Plot,Urban,0,Approved
HL100655,36,Government Employee,Permanent,42000,3.3,1000,5110000,10,6340000,1230000,Apartment,Urban,1,Approved
HL100656,43,Business Owner,Business,119500,5.5,11900,8087000,15,9887000,1800000,Plot,Urban,2,Approved
HL100657,39,Government Employee,Permanent,67100,4.3,10300,4873000,30,8415000,3542000,Independent House,Urban,0,Approved
HL100658,22,Private Employee,Permanent,91700,0.3,22600,11310000,20,16195000,4885000,Independent House,Urban,0,Approved
HL100659,40,Government Employee,Permanent,32700,9.7,3200,1940000,10,2531000,591000,Plot,Semi Urban,1,Rejected
HL100660,44,Salaried,Contract,45800,10.8,7500,4656000,15,6942000,2286000,Apartment,Semi Urban,2,Approved
HL100661,42,Business Owner,Business,38700,15.9,7400,2306000,10,3387000,1081000,Apartment,Semi Urban,2,Rejected
HL100662,37,Salaried,Permanent,39400,8.5,4100,3053000,15,3429000,376000,Apartment,Semi Urban,2,Approved
HL100663,53,Salaried,Permanent,95200,22.7,20200,5655000,20,7088000,1433000,Villa,Rural,2,Approved
HL100664,41,Government Employee,Permanent,100500,15.7,21700,10266000,20,13139000,2873000,Independent House,Rural,0,Approved
HL100665,42,Self Employed,Self Employed,32300,6.7,7400,3376000,20,4618000,1242000,Plot,Urban,3,Approved
HL100666,47,Business Owner,Business,55100,10.8,8600,6955000,5,8717000,1762000,Independent House,Urban,3,Approved
HL100667,41,Professional,Permanent,60200,20.0,18600,5617000,15,7129000,1512000,Independent House,Urban,1,Approved
HL100668,30,Government Employee,Permanent,67000,2.7,4700,6913000,5,8462000,1549000,Apartment,Rural,2,Approved
HL100669,22,Government Employee,Permanent,23300,0.7,6800,2282000,15,3279000,997000,Apartment,Urban,1,Rejected
HL100670,34,Salaried,Permanent,26300,2.0,4800,3358000,20,3750000,392000,Plot,Urban,3,Rejected
HL100671,45,Private Employee,Permanent,67500,19.2,15300,8704000,10,10690000,1986000,Apartment,Urban,1,Rejected
HL100672,35,Professional,Permanent,25900,3.7,2400,3354000,30,3616000,262000,Builder Floor,Semi Urban,1,Rejected
HL100673,45,Self Employed,Self Employed,44300,11.5,8300,5019000,20,5820000,801000,Apartment,Semi Urban,3,Rejected
HL100674,39,Private Employee,Permanent,58300,2.4,13700,3551000,15,4705000,1154000,Independent House,Semi Urban,2,Rejected
HL100675,50,Government Employee,Permanent,62100,13.0,2100,6922000,15,9191000,2269000,Apartment,Semi Urban,0,Approved
HL100676,35,Professional,Permanent,58500,6.3,6300,3742000,10,4648000,906000,Plot,Rural,2,Approved
HL100677,42,Private Employee,Contract,46000,8.5,0,5828000,5,8446000,2618000,Apartment,Urban,3,Approved
HL100678,43,Salaried,Permanent,79200,13.9,8400,4734000,30,7048000,2314000,Independent House,Rural,1,Approved
HL100679,52,Government Employee,Permanent,58500,29.6,3200,3713000,20,4727000,1014000,Builder Floor,Semi Urban,2,Approved
HL100680,23,Salaried,Contract,40500,0.4,4200,3484000,25,4585000,1101000,Villa,Urban,2,Approved
HL100681,34,Salaried,Contract,55100,5.3,19500,4649000,20,5696000,1047000,Apartment,Rural,2,Rejected
HL100682,46,Salaried,Permanent,64400,3.5,16600,4204000,30,5760000,1556000,Plot,Rural,4,Approved
HL100683,52,Private Employee,Permanent,117400,2.6,600,14861000,25,16974000,2113000,Independent House,Semi Urban,2,Approved
HL100684,40,Private Employee,Permanent,77200,9.9,12700,5486000,10,8622000,3136000,Apartment,Rural,2,Rejected
HL100685,35,Government Employee,Permanent,88900,2.7,16300,6282000,10,9120000,2838000,Independent House,Urban,3,Approved
HL100686,45,Private Employee,Permanent,41200,11.2,3800,4917000,15,5614000,697000,Plot,Urban,0,Rejected
HL100687,46,Professional,Permanent,49200,13.5,6600,6721000,15,7971000,1250000,Independent House,Urban,0,Rejected
HL100688,35,Self Employed,Self Employed,48700,1.4,6900,4640000,20,6218000,1578000,Plot,Rural,4,Approved
HL100689,41,Private Employee,Permanent,50800,11.9,600,4327000,15,5362000,1035000,Villa,Semi Urban,2,Approved
HL100690,49,Government Employee,Permanent,32700,25.9,1200,3136000,25,4258000,1122000,Independent House,Rural,1,Approved
HL100691,55,Business Owner,Business,119700,23.5,16000,7090000,5,8766000,1676000,Apartment,Semi Urban,0,Approved
HL100692,45,Salaried,Contract,80600,5.1,10300,6943000,25,10551000,3608000,Plot,Semi Urban,0,Approved
HL100693,38,Government Employee,Permanent,44900,7.6,2800,5649000,15,7248000,1599000,Apartment,Urban,0,Approved
HL100694,38,Professional,Contract,83200,8.2,4700,6074000,5,10359000,4285000,Apartment,Urban,1,Approved
HL100695,43,Private Employee,Permanent,59900,9.2,6800,3578000,25,4890000,1312000,Apartment,Urban,2,Approved
HL100696,37,Self Employed,Self Employed,74900,2.4,14300,8768000,15,9874000,1106000,Builder Floor,Semi Urban,0,Approved
HL100697,40,Private Employee,Permanent,29600,4.6,3400,2104000,25,3432000,1328000,Apartment,Urban,2,Approved
HL100698,28,Private Employee,Permanent,50700,2.7,12700,2495000,25,3605000,1110000,Apartment,Rural,4,Approved
HL100699,50,Government Employee,Permanent,50100,15.5,3200,3160000,5,4215000,1055000,Apartment,Semi Urban,4,Approved
HL100700,28,Salaried,Permanent,71700,2.1,9700,8361000,15,11480000,3119000,Apartment,Urban,3,Approved
HL100701,34,Government Employee,Permanent,38800,1.0,3600,2507000,10,2865000,358000,Builder Floor,Rural,1,Approved
HL100702,39,Salaried,Permanent,18000,5.6,3000,1889000,10,2044000,155000,Independent House,Semi Urban,2,Rejected
HL100703,56,Business Owner,Business,41600,35.0,2400,5127000,30,6545000,1418000,Plot,Semi Urban,2,Rejected
HL100704,34,Government Employee,Permanent,50100,7.8,13700,5336000,25,7968000,2632000,Plot,Urban,0,Rejected
HL100705,32,Private Employee,Permanent,55800,5.7,0,5726000,15,7652000,1926000,Apartment,Urban,3,Approved
HL100706,33,Self Employed,Self Employed,115600,2.9,29700,10052000,20,15626000,5574000,Plot,Urban,2,Approved
HL100707,53,Self Employed,Self Employed,70400,10.4,9000,4643000,30,6886000,2243000,Builder Floor,Urban,2,Approved
HL100708,22,Private Employee,Permanent,56200,0.1,9200,4820000,15,6192000,1372000,Plot,Semi Urban,1,Approved
HL100709,29,Private Employee,Permanent,53400,1.8,12100,2583000,5,3769000,1186000,Villa,Rural,0,Approved
HL100710,63,Professional,Contract,102400,24.3,19300,4441000,25,6748000,2307000,Independent House,Rural,3,Approved
HL100711,43,Self Employed,Self Employed,41500,11.6,2600,2996000,25,3810000,814000,Plot,Urban,0,Approved
HL100712,28,Business Owner,Business,63600,1.9,10700,5369000,10,6736000,1367000,Apartment,Rural,0,Approved
HL100713,38,Professional,Permanent,38200,7.1,10300,2952000,20,3840000,888000,Plot,Urban,2,Approved
HL100714,39,Self Employed,Self Employed,102600,8.4,5000,9353000,10,9845000,492000,Apartment,Urban,2,Approved
HL100715,46,Salaried,Permanent,64600,7.2,18700,7245000,20,9563000,2318000,Independent House,Semi Urban,0,Rejected
HL100716,55,Private Employee,Permanent,39400,21.2,5900,1959000,20,2712000,753000,Builder Floor,Rural,1,Approved
