Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Loan_Amount,Loan_Tenure,Loan_Purpose,Number_of_Dependents,Monthly_Household_Expenses,Monthly_Savings_Surplus,Residence_Type,Employment_Business_Stability,Loan_Approval
PL100472,27,Self Employed,Self Employed,18700,1.1,3800,170000,2,Consumer Purchase,2,14200,900,Owned,Stable,Rejected
PL100473,39,Salaried,Permanent,41900,11.7,9300,167000,1,Consumer Purchase,2,13200,18400,Rented,Moderate,Approved
PL100474,42,Private Employee,Permanent,34200,4.0,4700,198000,1,Other Personal,0,3400,25800,Owned,Very Stable,Approved
PL100475,21,Salaried,Contract,15600,0.1,900,138000,1,Home Renovation,2,8200,6400,Family Owned,Moderate,Rejected
PL100476,32,Salaried,Permanent,35100,4.1,3800,263000,3,Debt Consolidation,3,10100,20400,Owned,Stable,Approved
PL100477,34,Salaried,Permanent,32400,4.2,6900,236000,5,Wedding,3,17800,8200,Family Owned,Moderate,Rejected
PL100478,60,Government Employee,Permanent,36600,28.8,10300,295000,1,Home Renovation,2,9600,16000,Family Owned,Stable,Approved
PL100479,35,Self Employed,Self Employed,108300,12.3,24900,718000,1,Consumer Purchase,3,56100,28100,Rented,Stable,Rejected
PL100480,30,Private Employee,Permanent,69800,2.5,9400,593000,2,Medical,0,25100,35800,Rented,Stable,Approved
PL100481,46,Self Employed,Self Employed,36200,11.2,8400,146000,5,Debt Consolidation,1,18700,9700,Rented,Stable,Approved
PL100482,24,Business Owner,Business,52000,1.4,3900,373000,4,Home Renovation,0,24500,22600,Owned,Very Stable,Approved
PL100483,22,Private Employee,Contract,27300,0.7,7100,268000,2,Consumer Purchase,3,14200,5300,Rented,Moderate,Rejected
PL100484,42,Private Employee,Permanent,24500,3.6,7600,109000,5,Wedding,0,13000,3700,Rented,Stable,Approved
PL100485,40,Salaried,Permanent,46700,6.0,11200,490000,3,Medical,3,22900,14000,Owned,Very Stable,Rejected
PL100486,27,Self Employed,Self Employed,28400,2.5,1100,45000,3,Home Renovation,4,7300,19500,Owned,Moderate,Approved
PL100487,40,Salaried,Permanent,38400,20.0,1700,253000,2,Consumer Purchase,2,23600,14400,Owned,Unstable,Rejected
PL100488,33,Self Employed,Self Employed,24400,1.9,5900,199000,4,Debt Consolidation,2,10300,8000,Family Owned,Stable,Rejected
PL100489,26,Self Employed,Self Employed,34000,1.4,6500,174000,5,Consumer Purchase,0,16700,10100,Owned,Stable,Rejected
PL100490,47,Salaried,Permanent,44800,11.9,2900,231000,4,Home Renovation,1,16700,26000,Rented,Moderate,Approved
PL100491,30,Self Employed,Self Employed,53800,1.2,4100,121000,2,Debt Consolidation,3,29100,19400,Family Owned,Moderate,Approved
PL100492,37,Private Employee,Permanent,25700,5.7,4900,165000,1,Wedding,3,11600,8400,Owned,Moderate,Approved
PL100493,49,Private Employee,Permanent,72100,29.0,3300,798000,1,Medical,2,35200,34700,Rented,Stable,Approved
PL100494,43,Business Owner,Business,38800,3.3,7000,292000,2,Medical,3,11600,21100,Rented,Moderate,Approved
PL100495,29,Salaried,Permanent,33800,2.2,9400,351000,4,Home Renovation,0,18600,5300,Family Owned,Stable,Rejected
PL100496,48,Private Employee,Contract,38100,5.8,6100,390000,4,Debt Consolidation,3,17400,14600,Rented,Moderate,Rejected
PL100497,33,Salaried,Permanent,35200,1.8,11400,339000,5,Consumer Purchase,4,6900,15700,Owned,Moderate,Rejected
PL100498,27,Self Employed,Self Employed,37800,2.1,7600,313000,1,Home Renovation,2,12100,16400,Family Owned,Very Stable,Approved
PL100499,35,Professional,Contract,39200,0.7,5900,86000,3,Medical,3,18500,13400,Family Owned,Stable,Approved
PL100500,28,Salaried,Permanent,34000,1.5,7800,314000,3,Travel,1,18100,7900,Owned,Unstable,Rejected
PL100501,26,Salaried,Permanent,63600,4.8,15800,663000,5,Emergency,2,33600,10700,Rented,Very Stable,Rejected
PL100502,28,Private Employee,Contract,33500,1.3,2200,196000,2,Debt Consolidation,1,9300,22800,Rented,Stable,Approved
PL100503,58,Self Employed,Self Employed,17000,14.2,2100,158000,5,Debt Consolidation,2,7500,7200,Owned,Stable,Rejected
PL100504,42,Business Owner,Business,71500,14.6,3200,297000,5,Medical,2,20600,51000,Rented,Stable,Approved
PL100505,21,Self Employed,Self Employed,39000,0.4,0,187000,3,Home Renovation,0,15100,23700,Owned,Stable,Rejected
PL100506,43,Self Employed,Self Employed,17800,5.6,2300,64000,5,Consumer Purchase,1,5500,9400,Rented,Very Stable,Rejected
PL100507,44,Business Owner,Business,21700,12.2,4000,34000,2,Other Personal,0,10400,8800,Rented,Moderate,Rejected
PL100508,26,Private Employee,Permanent,30000,2.3,3300,232000,2,Consumer Purchase,2,17200,8200,Rented,Moderate,Rejected
PL100509,32,Private Employee,Permanent,40300,10.4,6800,422000,1,Wedding,2,26000,7300,Rented,Stable,Rejected
PL100510,21,Salaried,Permanent,14000,0.6,1500,74000,2,Debt Consolidation,0,6400,6000,Rented,Unstable,Rejected
PL100511,32,Salaried,Permanent,14000,7.5,800,96000,5,Consumer Purchase,2,5000,8000,Owned,Very Stable,Approved
PL100512,21,Professional,Permanent,34200,0.4,6000,288000,1,Medical,0,6000,21500,Family Owned,Stable,Rejected
PL100513,37,Salaried,Permanent,60800,9.6,2300,335000,4,Wedding,1,30500,27600,Family Owned,Stable,Approved
PL100514,49,Salaried,Permanent,60300,29.0,7800,425000,3,Debt Consolidation,3,35100,18200,Owned,Very Stable,Approved
PL100515,43,Salaried,Contract,21000,8.1,1000,251000,3,Wedding,1,12900,6800,Owned,Stable,Rejected
PL100516,40,Private Employee,Permanent,42700,8.5,3400,321000,4,Consumer Purchase,3,15300,25600,Rented,Moderate,Approved
PL100517,38,Salaried,Permanent,42400,13.1,2700,310000,2,Emergency,1,17100,22000,Owned,Unstable,Approved
PL100518,50,Self Employed,Self Employed,36400,14.9,10800,193000,2,Home Renovation,3,17200,7800,Owned,Stable,Approved
PL100519,45,Business Owner,Business,56900,11.1,8700,368000,2,Wedding,2,24400,24300,Family Owned,Stable,Approved
PL100520,21,Government Employee,Permanent,23300,0.4,1600,166000,3,Consumer Purchase,1,6100,15900,Family Owned,Stable,Approved
PL100521,35,Private Employee,Contract,39000,4.5,3400,193000,3,Consumer Purchase,0,9200,26900,Rented,Unstable,Rejected
PL100522,26,Salaried,Contract,79000,3.5,17200,869000,1,Wedding,3,44100,18000,Owned,Moderate,Approved
PL100523,46,Salaried,Permanent,28300,9.1,4400,140000,3,Travel,1,17200,5600,Rented,Moderate,Rejected
PL100524,40,Self Employed,Self Employed,26600,10.0,5500,189000,1,Debt Consolidation,2,8900,11700,Owned,Moderate,Rejected
PL100525,28,Self Employed,Self Employed,46300,1.1,8800,99000,4,Medical,1,25800,12100,Rented,Moderate,Rejected
PL100526,49,Self Employed,Self Employed,38900,14.3,9300,395000,3,Other Personal,0,18900,9500,Owned,Unstable,Rejected
PL100527,40,Self Employed,Self Employed,14500,18.6,0,121000,1,Debt Consolidation,2,5700,9400,Rented,Moderate,Approved
PL100528,60,Government Employee,Permanent,52800,2.8,7200,207000,2,Other Personal,2,23500,24300,Family Owned,Stable,Rejected
PL100529,29,Self Employed,Self Employed,19000,3.0,0,144000,2,Emergency,1,11000,7300,Owned,Very Stable,Approved
PL100530,33,Government Employee,Permanent,47800,2.1,15500,112000,1,Consumer Purchase,0,16200,15000,Rented,Very Stable,Approved
PL100531,23,Salaried,Permanent,31200,0.9,3700,138000,4,Emergency,2,12400,14600,Rented,Very Stable,Approved
PL100532,31,Salaried,Contract,32500,3.2,8600,217000,2,Emergency,4,9800,12700,Owned,Stable,Rejected
PL100533,29,Government Employee,Permanent,34100,1.7,7100,110000,2,Wedding,1,6900,19300,Rented,Stable,Approved
PL100534,39,Salaried,Permanent,22300,5.7,1700,168000,4,Consumer Purchase,2,12200,8900,Rented,Stable,Rejected
PL100535,29,Private Employee,Permanent,57000,8.4,15700,450000,2,Consumer Purchase,0,15000,28100,Rented,Moderate,Approved
PL100536,32,Private Employee,Permanent,34700,9.0,4200,86000,5,Other Personal,3,15800,14600,Owned,Moderate,Approved
PL100537,31,Government Employee,Permanent,28400,10.7,7200,168000,5,Medical,1,14600,5900,Owned,Very Stable,Approved
PL100538,33,Private Employee,Contract,69800,3.0,4900,536000,3,Consumer Purchase,1,27000,37200,Rented,Stable,Approved
PL100539,40,Government Employee,Permanent,31800,13.1,5900,206000,2,Medical,0,15800,9800,Rented,Very Stable,Rejected
PL100540,21,Professional,Permanent,22400,0.3,2900,250000,2,Debt Consolidation,3,7600,11900,Owned,Stable,Rejected
PL100541,41,Professional,Permanent,48100,12.9,7800,539000,3,Wedding,0,32200,7200,Family Owned,Unstable,Rejected
PL100542,35,Private Employee,Permanent,25400,0.3,1600,142000,2,Medical,1,8300,15400,Family Owned,Moderate,Rejected
PL100543,30,Salaried,Permanent,70300,4.0,0,327000,3,Emergency,4,53300,17800,Owned,Moderate,Rejected
PL100544,35,Salaried,Permanent,28600,7.5,200,251000,1,Medical,0,7200,22500,Family Owned,Stable,Approved
PL100545,39,Private Employee,Permanent,25900,5.6,7100,230000,1,Wedding,3,7600,11100,Rented,Stable,Rejected
PL100546,44,Government Employee,Permanent,23200,6.3,700,81000,1,Emergency,1,8000,15200,Family Owned,Very Stable,Rejected
PL100547,33,Business Owner,Business,33200,4.2,3200,269000,3,Wedding,0,17500,13200,Family Owned,Stable,Approved
PL100548,48,Private Employee,Permanent,27600,1.3,2800,324000,2,Wedding,0,9800,15200,Owned,Very Stable,Approved
PL100549,50,Government Employee,Permanent,30400,5.8,7100,308000,2,Emergency,1,21000,2500,Family Owned,Moderate,Rejected
PL100550,36,Private Employee,Permanent,17600,2.4,5100,45000,2,Consumer Purchase,1,7200,5200,Family Owned,Moderate,Rejected
PL100551,52,Self Employed,Self Employed,38200,27.4,10900,132000,4,Emergency,1,19500,9000,Owned,Moderate,Rejected
PL100552,23,Salaried,Permanent,43000,1.4,0,261000,3,Debt Consolidation,1,17300,25000,Owned,Very Stable,Approved
PL100553,26,Self Employed,Self Employed,50600,5.0,0,347000,1,Travel,1,15700,36200,Owned,Stable,Approved
PL100554,44,Salaried,Contract,25300,0.7,1100,100000,4,Consumer Purchase,3,7400,16300,Rented,Moderate,Rejected
PL100555,51,Private Employee,Permanent,38800,6.9,8300,311000,1,Consumer Purchase,4,18600,12100,Rented,Very Stable,Approved
PL100556,26,Private Employee,Permanent,51200,3.9,9600,225000,5,Debt Consolidation,0,22300,21000,Owned,Stable,Approved
PL100557,43,Private Employee,Permanent,39100,4.2,10200,251000,3,Debt Consolidation,1,3900,25600,Owned,Very Stable,Approved
PL100558,49,Salaried,Permanent,24600,20.6,500,204000,2,Travel,0,12500,11100,Rented,Unstable,Rejected
PL100559,29,Private Employee,Permanent,47400,2.1,2800,266000,2,Consumer Purchase,2,18800,25400,Owned,Unstable,Approved
PL100560,26,Salaried,Permanent,60500,6.0,10600,421000,5,Home Renovation,3,35600,12500,Rented,Stable,Rejected
PL100561,37,Salaried,Permanent,35100,3.1,2300,155000,1,Consumer Purchase,0,13200,19700,Rented,Very Stable,Approved
PL100562,28,Business Owner,Business,38800,8.0,9400,98000,1,Other Personal,2,17500,13200,Owned,Very Stable,Approved
PL100563,21,Self Employed,Self Employed,20500,0.5,0,145000,2,Debt Consolidation,0,9000,11900,Rented,Very Stable,Approved
PL100564,43,Private Employee,Contract,26600,6.1,9200,257000,3,Debt Consolidation,4,8400,9700,Family Owned,Stable,Rejected
PL100565,35,Self Employed,Self Employed,50500,11.7,6300,259000,5,Other Personal,1,21900,23300,Rented,Stable,Approved
PL100566,30,Self Employed,Self Employed,33200,2.6,0,123000,3,Medical,2,14300,17800,Rented,Moderate,Approved
PL100567,42,Salaried,Permanent,22100,7.8,7600,66000,5,Consumer Purchase,1,12900,2200,Owned,Stable,Approved
PL100568,35,Salaried,Permanent,61700,10.6,1400,394000,4,Home Renovation,1,20200,37200,Family Owned,Moderate,Rejected
PL100569,45,Salaried,Contract,52700,12.3,11600,277000,2,Home Renovation,1,15600,24500,Owned,Moderate,Approved
PL100570,40,Business Owner,Business,28900,6.4,2700,286000,4,Wedding,1,16900,9900,Family Owned,Moderate,Approved
PL100571,26,Private Employee,Permanent,105400,0.9,0,889000,3,Travel,2,64000,35700,Owned,Stable,Approved
PL100572,45,Private Employee,Contract,26500,7.1,2500,318000,1,Emergency,2,7500,17100,Rented,Unstable,Rejected
PL100573,45,Business Owner,Business,16000,2.0,4100,172000,1,Home Renovation,3,6000,5900,Owned,Moderate,Rejected
PL100574,34,Salaried,Permanent,30700,12.3,5700,146000,5,Travel,2,16200,8700,Owned,Stable,Approved
PL100575,51,Salaried,Permanent,16500,2.9,0,130000,3,Debt Consolidation,2,3400,12700,Owned,Moderate,Approved
PL100576,38,Salaried,Permanent,41400,6.3,8000,394000,3,Medical,3,14300,16200,Owned,Stable,Approved
PL100577,41,Salaried,Permanent,62200,13.5,6600,489000,2,Emergency,1,24400,30800,Owned,Stable,Approved
PL100578,35,Government Employee,Permanent,23100,2.7,5400,163000,2,Other Personal,4,9500,8600,Family Owned,Moderate,Rejected
PL100579,21,Salaried,Contract,27300,0.2,0,226000,5,Emergency,2,12100,16400,Family Owned,Very Stable,Approved
PL100580,44,Private Employee,Permanent,26200,24.0,0,85000,4,Other Personal,1,7900,18900,Owned,Very Stable,Approved
PL100581,36,Private Employee,Permanent,28000,3.4,0,173000,4,Medical,0,15400,14100,Rented,Stable,Approved
PL100582,24,Private Employee,Permanent,31100,1.3,7600,200000,3,Consumer Purchase,3,12300,11000,Rented,Stable,Rejected
PL100583,40,Government Employee,Permanent,24300,0.7,4000,39000,2,Medical,1,7800,11800,Owned,Moderate,Rejected
PL100584,39,Self Employed,Self Employed,43500,5.5,16800,204000,5,Wedding,2,22400,4900,Owned,Unstable,Rejected
PL100585,37,Self Employed,Self Employed,20300,9.6,1500,49000,1,Medical,0,11000,8800,Family Owned,Moderate,Approved
PL100586,34,Salaried,Permanent,37000,7.7,1800,358000,1,Home Renovation,2,17100,18300,Owned,Moderate,Rejected
PL100587,36,Salaried,Permanent,47800,4.6,0,557000,3,Travel,1,30100,15800,Rented,Stable,Approved
PL100588,32,Government Employee,Permanent,21100,3.5,5300,219000,1,Debt Consolidation,1,5300,10100,Owned,Moderate,Rejected
PL100589,37,Private Employee,Permanent,16100,9.5,2900,81000,3,Home Renovation,2,7900,5500,Family Owned,Moderate,Rejected
PL100590,31,Salaried,Permanent,18700,2.4,3400,71000,1,Home Renovation,1,5800,9800,Family Owned,Very Stable,Approved
PL100591,29,Government Employee,Permanent,27400,0.8,4700,188000,2,Other Personal,2,16800,5800,Family Owned,Stable,Rejected
PL100592,31,Self Employed,Self Employed,18700,3.3,5700,221000,1,Other Personal,1,9100,3600,Rented,Stable,Rejected
PL100593,44,Private Employee,Permanent,64700,13.8,3200,429000,3,Consumer Purchase,3,36600,23300,Rented,Unstable,Approved
PL100594,32,Business Owner,Business,32500,5.1,8800,66000,3,Medical,2,20100,3300,Owned,Very Stable,Rejected
PL100595,36,Salaried,Permanent,24000,16.0,4500,95000,1,Travel,1,12200,7300,Owned,Very Stable,Approved
PL100596,22,Private Employee,Permanent,23200,0.7,2000,100000,1,Home Renovation,1,8700,12700,Owned,Stable,Approved
PL100597,38,Self Employed,Self Employed,47700,17.6,5700,392000,3,Home Renovation,1,11600,29000,Family Owned,Moderate,Approved
PL100598,43,Government Employee,Permanent,53700,7.9,3800,556000,2,Medical,4,20900,29900,Owned,Stable,Approved
PL100599,40,Private Employee,Permanent,26900,13.1,5700,106000,2,Travel,1,9800,10600,Family Owned,Stable,Approved
PL100600,29,Private Employee,Permanent,36200,6.3,10000,236000,2,Consumer Purchase,0,14200,11100,Family Owned,Stable,Approved
PL100601,38,Salaried,Permanent,41200,12.7,9700,423000,5,Debt Consolidation,0,21700,9200,Owned,Very Stable,Approved
PL100602,30,Private Employee,Contract,40400,3.0,11100,153000,3,Consumer Purchase,2,15100,14900,Rented,Unstable,Approved
PL100603,38,Salaried,Permanent,44500,2.1,5900,199000,1,Wedding,0,25700,15000,Owned,Moderate,Approved
PL100604,28,Government Employee,Permanent,53000,2.4,2900,615000,5,Medical,0,22600,26000,Owned,Stable,Approved
PL100605,45,Salaried,Permanent,43700,9.5,6700,335000,2,Consumer Purchase,2,13700,24500,Rented,Moderate,Approved
PL100606,47,Government Employee,Permanent,26300,6.8,600,270000,1,Medical,2,13300,11700,Rented,Stable,Approved
PL100607,34,Self Employed,Self Employed,28600,3.7,4500,179000,4,Home Renovation,2,9900,15100,Owned,Very Stable,Approved
PL100608,29,Private Employee,Permanent,16800,1.8,3100,44000,2,Home Renovation,3,8300,5400,Rented,Moderate,Rejected
PL100609,22,Self Employed,Self Employed,35800,0.3,6700,413000,4,Other Personal,1,13700,14100,Owned,Unstable,Rejected
PL100610,56,Self Employed,Self Employed,34700,20.9,0,217000,5,Emergency,3,9400,26600,Rented,Moderate,Approved
PL100611,39,Salaried,Permanent,26500,0.8,3800,227000,3,Debt Consolidation,2,14700,7500,Family Owned,Very Stable,Approved
PL100612,33,Salaried,Permanent,37600,1.9,300,422000,4,Travel,3,8000,28500,Rented,Unstable,Approved
PL100613,31,Salaried,Permanent,27000,3.1,1600,237000,4,Consumer Purchase,4,14600,11000,Rented,Stable,Rejected
PL100614,26,Private Employee,Contract,22600,1.8,3700,133000,4,Emergency,1,12800,5700,Rented,Moderate,Rejected
PL100615,43,Government Employee,Permanent,57300,11.3,8400,92000,5,Emergency,2,29900,18600,Owned,Unstable,Rejected
PL100616,39,Salaried,Permanent,25700,6.6,0,137000,1,Wedding,3,15200,10300,Rented,Stable,Approved
PL100617,30,Private Employee,Permanent,31600,4.6,3400,249000,3,Home Renovation,0,14000,15400,Owned,Stable,Approved
PL100618,39,Private Employee,Permanent,44400,9.2,5000,275000,2,Debt Consolidation,0,29900,7200,Rented,Very Stable,Rejected
PL100619,41,Self Employed,Self Employed,20800,17.3,2300,178000,2,Medical,1,9200,8700,Family Owned,Moderate,Rejected
PL100620,38,Salaried,Permanent,35700,8.1,3800,116000,1,Wedding,0,10000,22400,Owned,Moderate,Approved
PL100621,51,Salaried,Permanent,21700,7.9,6500,72000,3,Home Renovation,1,9000,6600,Owned,Moderate,Rejected
PL100622,32,Self Employed,Self Employed,43200,12.0,0,169000,3,Consumer Purchase,3,14000,29300,Family Owned,Moderate,Approved
PL100623,22,Self Employed,Self Employed,87100,1.5,8500,762000,1,Other Personal,3,48400,25900,Owned,Stable,Approved
PL100624,39,Salaried,Permanent,51100,17.2,0,190000,2,Wedding,0,23800,27100,Rented,Stable,Approved
PL100625,33,Government Employee,Permanent,57900,5.6,5500,685000,2,Travel,3,21400,28400,Owned,Stable,Rejected
PL100626,35,Salaried,Permanent,42100,5.3,10100,174000,2,Wedding,0,25100,9600,Family Owned,Stable,Rejected
PL100627,40,Professional,Permanent,71900,7.4,31200,437000,1,Travel,1,32400,9100,Rented,Stable,Rejected
PL100628,26,Private Employee,Contract,14000,0.6,2900,104000,4,Emergency,2,7400,3400,Family Owned,Moderate,Rejected
PL100629,22,Salaried,Permanent,38100,0.4,5500,360000,2,Emergency,1,13100,21600,Owned,Stable,Approved
PL100630,42,Private Employee,Contract,50900,5.4,11300,372000,2,Medical,1,32200,10000,Family Owned,Very Stable,Approved
PL100631,37,Salaried,Permanent,29200,3.1,2300,196000,1,Home Renovation,1,3500,24400,Rented,Unstable,Rejected
PL100632,49,Private Employee,Contract,44200,2.6,9000,266000,1,Other Personal,1,21000,15700,Owned,Unstable,Approved
PL100633,43,Business Owner,Business,25700,13.1,4500,53000,3,Debt Consolidation,0,14700,6100,Rented,Very Stable,Rejected
PL100634,37,Private Employee,Permanent,62400,3.8,16300,160000,1,Emergency,2,26300,21500,Rented,Stable,Approved
PL100635,24,Private Employee,Permanent,33000,0.8,4500,329000,2,Wedding,1,13000,14900,Rented,Moderate,Approved
PL100636,53,Salaried,Permanent,29600,11.1,5300,148000,3,Debt Consolidation,2,20200,5000,Rented,Very Stable,Rejected
PL100637,21,Private Employee,Permanent,24300,0.3,2400,150000,2,Other Personal,0,13800,8300,Owned,Very Stable,Approved
PL100638,35,Salaried,Contract,34300,5.5,4900,268000,5,Wedding,2,13500,17200,Owned,Stable,Approved
PL100639,25,Private Employee,Contract,65400,1.9,9900,99000,3,Wedding,2,19600,36800,Owned,Stable,Approved
PL100640,35,Private Employee,Contract,55800,4.7,10800,586000,1,Home Renovation,0,18600,27000,Rented,Stable,Approved
PL100641,37,Salaried,Permanent,22800,10.2,3500,164000,3,Consumer Purchase,2,4600,14100,Owned,Stable,Approved
PL100642,28,Professional,Permanent,34900,7.1,4200,204000,2,Home Renovation,2,17900,11200,Rented,Very Stable,Approved
PL100643,25,Salaried,Permanent,41200,1.1,3000,78000,2,Wedding,3,9400,27500,Owned,Stable,Approved
PL100644,31,Government Employee,Permanent,30300,6.3,3700,296000,1,Home Renovation,3,15700,8400,Owned,Stable,Rejected
PL100645,36,Business Owner,Business,36400,11.9,3500,107000,5,Debt Consolidation,2,16900,15900,Family Owned,Moderate,Approved
PL100646,40,Professional,Permanent,57000,10.2,7900,588000,2,Consumer Purchase,1,12700,36600,Owned,Stable,Approved
PL100647,39,Professional,Contract,31700,2.2,700,199000,4,Travel,2,20800,9100,Rented,Stable,Rejected
PL100648,31,Self Employed,Self Employed,40900,8.5,12200,133000,2,Medical,2,22700,7800,Rented,Stable,Rejected
PL100649,28,Salaried,Permanent,54100,3.6,4000,131000,3,Home Renovation,3,20200,31700,Family Owned,Stable,Approved
PL100650,48,Salaried,Permanent,46600,14.5,13900,246000,5,Other Personal,2,10800,22100,Rented,Moderate,Approved
PL100651,22,Government Employee,Permanent,35800,0.5,1000,246000,3,Debt Consolidation,2,7800,27700,Family Owned,Stable,Approved
PL100652,42,Self Employed,Self Employed,63600,4.8,20500,728000,2,Home Renovation,2,29200,13600,Rented,Stable,Approved
PL100653,28,Professional,Contract,24100,4.0,5200,82000,2,Medical,2,13000,6500,Owned,Unstable,Approved
PL100654,37,Business Owner,Business,15900,11.6,500,69000,4,Consumer Purchase,1,6700,8600,Owned,Unstable,Rejected
PL100655,47,Business Owner,Business,38800,8.4,6600,161000,2,Travel,2,12700,20400,Rented,Very Stable,Approved
PL100656,35,Government Employee,Permanent,78600,2.9,14700,288000,2,Wedding,3,18800,43400,Rented,Very Stable,Approved
PL100657,40,Salaried,Permanent,89000,4.7,26200,153000,1,Debt Consolidation,1,55800,12400,Family Owned,Unstable,Rejected
PL100658,36,Private Employee,Permanent,22500,2.6,2900,235000,5,Consumer Purchase,2,10900,8500,Rented,Moderate,Rejected
PL100659,37,Private Employee,Permanent,26100,2.7,6300,146000,1,Debt Consolidation,2,8000,10800,Rented,Moderate,Approved
PL100660,36,Private Employee,Permanent,15500,3.9,2100,82000,3,Consumer Purchase,2,6200,6600,Family Owned,Stable,Rejected
PL100661,39,Salaried,Contract,35400,5.0,0,306000,3,Medical,2,21800,14100,Family Owned,Stable,Approved
PL100662,30,Private Employee,Permanent,45900,3.0,8700,227000,1,Debt Consolidation,1,19800,17800,Family Owned,Very Stable,Approved
PL100663,31,Salaried,Permanent,21700,3.7,2400,219000,2,Other Personal,0,10700,7900,Owned,Stable,Rejected
PL100664,29,Salaried,Permanent,27500,4.2,4200,117000,3,Medical,1,17700,6300,Owned,Moderate,Rejected
PL100665,43,Private Employee,Permanent,61300,6.9,13800,379000,3,Home Renovation,1,37100,10700,Rented,Very Stable,Approved
PL100666,56,Private Employee,Permanent,80400,8.2,23600,306000,3,Home Renovation,2,46400,12200,Family Owned,Very Stable,Approved
PL100667,45,Self Employed,Self Employed,48900,3.8,2800,518000,2,Travel,2,22300,22800,Family Owned,Moderate,Approved
PL100668,42,Government Employee,Permanent,26200,5.5,2500,244000,2,Wedding,3,13600,9900,Family Owned,Moderate,Rejected
PL100669,29,Professional,Permanent,73700,1.4,7400,564000,4,Home Renovation,1,44700,23200,Rented,Moderate,Approved
PL100670,21,Salaried,Permanent,42400,0.6,7400,305000,5,Other Personal,2,21100,16500,Owned,Stable,Rejected
PL100671,21,Professional,Contract,28100,0.7,4000,141000,1,Wedding,1,12400,11000,Family Owned,Very Stable,Rejected
PL100672,21,Self Employed,Self Employed,25300,1.0,3200,210000,5,Other Personal,0,8800,13100,Family Owned,Very Stable,Approved
PL100673,35,Government Employee,Permanent,14000,0.9,1200,67000,3,Medical,2,7200,4600,Owned,Moderate,Rejected
PL100674,28,Self Employed,Self Employed,72400,3.6,2800,214000,5,Debt Consolidation,2,13000,57500,Owned,Very Stable,Approved
PL100675,38,Private Employee,Permanent,106700,12.9,6500,498000,4,Emergency,3,27600,66700,Family Owned,Stable,Approved
PL100676,40,Self Employed,Self Employed,32800,4.8,2800,219000,4,Home Renovation,2,18700,10400,Family Owned,Very Stable,Rejected
PL100677,31,Salaried,Permanent,44200,0.3,9000,171000,1,Consumer Purchase,3,27900,7200,Rented,Moderate,Rejected
PL100678,28,Government Employee,Permanent,32300,5.6,1900,323000,5,Emergency,4,14800,14800,Rented,Moderate,Approved
PL100679,47,Government Employee,Permanent,36500,10.1,11800,267000,2,Consumer Purchase,1,19800,5600,Family Owned,Stable,Rejected
PL100680,40,Private Employee,Permanent,20400,4.4,0,186000,4,Travel,1,13000,8000,Rented,Unstable,Rejected
PL100681,36,Self Employed,Self Employed,40700,15.1,3900,365000,3,Home Renovation,0,8100,28400,Owned,Stable,Approved
PL100682,37,Salaried,Contract,78100,3.8,11200,329000,2,Medical,3,9900,55500,Rented,Unstable,Approved
PL100683,43,Self Employed,Self Employed,32700,20.6,5500,241000,2,Medical,4,9400,16300,Family Owned,Stable,Approved
PL100684,31,Private Employee,Permanent,28500,0.9,4700,308000,2,Travel,4,7800,15900,Family Owned,Stable,Rejected
PL100685,44,Private Employee,Permanent,54400,2.9,7000,97000,2,Consumer Purchase,1,19300,27000,Family Owned,Stable,Approved
PL100686,41,Government Employee,Permanent,24500,11.0,5100,87000,2,Medical,1,21500,-2500,Family Owned,Moderate,Rejected
PL100687,49,Salaried,Permanent,29100,25.7,400,73000,2,Home Renovation,0,4800,24700,Rented,Stable,Approved
PL100688,50,Private Employee,Contract,28300,7.8,7200,69000,2,Wedding,2,7600,12900,Owned,Unstable,Rejected
PL100689,42,Government Employee,Permanent,26500,6.5,600,84000,3,Medical,1,16300,8100,Rented,Moderate,Approved
PL100690,46,Private Employee,Contract,22400,9.5,1600,261000,1,Medical,0,14900,5400,Family Owned,Moderate,Rejected
PL100691,36,Private Employee,Permanent,47700,14.1,6000,285000,2,Home Renovation,0,22500,18100,Family Owned,Moderate,Rejected
PL100692,42,Salaried,Permanent,65200,22.0,14500,701000,3,Travel,0,7700,39000,Family Owned,Moderate,Approved
PL100693,24,Professional,Permanent,48500,1.6,9100,386000,3,Home Renovation,1,15700,26800,Owned,Stable,Rejected
PL100694,47,Salaried,Permanent,84000,9.0,22700,388000,5,Medical,1,27100,31800,Family Owned,Stable,Approved
PL100695,37,Business Owner,Business,48600,5.2,5100,538000,2,Emergency,2,19400,23800,Owned,Unstable,Rejected
PL100696,26,Private Employee,Contract,34500,0.9,6900,330000,4,Consumer Purchase,2,12900,15300,Rented,Unstable,Approved
PL100697,43,Private Employee,Permanent,30200,11.1,1300,221000,2,Home Renovation,2,22400,7600,Owned,Moderate,Approved
PL100698,46,Private Employee,Permanent,35100,9.4,7300,204000,2,Medical,1,17900,10400,Family Owned,Stable,Approved
PL100699,37,Self Employed,Self Employed,51500,9.1,9300,193000,3,Travel,0,21000,23300,Owned,Stable,Approved
